,Year,Cause Name,State,Death Counts,State Population(adjusted by year),"Deaths per 100,000 people",Alcohol Consumption,Drunk Driving Penalties,Legal Driving Age,Rural Freeway Speed Limits,Gun Laws,Summer Temperature,Mean Temperature,Winter Temperature,Unemployment Rate,Average Income,Quality of Life,Kids Proportion,Adult Proportion,Elderly Proportion,Smoking Proportion,Air Pollution,Overweight Proportion,High Blood Pressure Proportion,Gender Ratio,Cancer Death Proportion,AD Death Proportion
34,2016,Unintentional injuries,Kentucky,3194,4438229.0,71.97,1.0,1.0,16.5,70.0,4.0,74.5,55.6,35.9,3.4,"45,369",27.0,22.7,64.8,12.5,24.6,8.2,34.2,39.4,0.971,233.49,38.93
35,2016,Unintentional injuries,Kansas,1444,2911263.0,49.6,0.0,0.0,16.0,75.0,5.0,76.4,54.3,31.9,2.8,"56,810",16.0,24.5,62.2,13.3,17.4,6.9,31.2,32.8,0.995,188.37,29.37
36,2016,Unintentional injuries,Iowa,1608,3131785.0,51.34,1.0,0.0,16.0,70.0,3.0,71.6,47.8,21.7,3.2,"59,094",9.0,23.3,61.8,14.9,17.1,7.2,32.0,31.5,0.987,205.38,45.18
37,2016,Unintentional injuries,Indiana,3496,6633344.0,52.7,0.0,1.0,16.25,70.0,4.0,72.4,51.7,29.4,4.6,"56,094",48.0,23.6,64.0,12.4,21.8,8.7,32.5,35.2,0.972,202.37,40.37
38,2016,Unintentional injuries,Illinois,5508,12826895.0,42.94,1.0,1.0,16.0,65.0,2.0,73.4,51.8,28.3,2.9,"61,386",47.0,22.6,65.3,12.1,15.5,9.6,31.6,32.2,0.9670000000000001,190.14,30.23
39,2016,Unintentional injuries,Idaho,849,1682930.0,50.45,0.0,1.0,15.0,75.0,5.0,63.7,44.4,25.4,2.1,"56,564",20.0,25.8,62.9,11.3,14.3,6.7,27.4,29.8,1.01,171.37,36.07
40,2016,Unintentional injuries,Hawaii,577,1428105.0,40.4,1.0,1.0,16.0,60.0,1.0,72.2,70.0,67.4,4.4,"72,133",36.0,21.4,65.3,13.3,12.8,5.8,23.8,30.6,1.0070000000000001,168.12,31.16
41,2016,Unintentional injuries,Georgia,4701,10304763.0,45.62,1.0,1.0,16.0,70.0,4.0,78.7,63.5,47.8,4.4,"53,527",32.0,24.1,66.3,9.6,17.5,8.6,31.4,33.1,0.946,166.76,39.02
42,2016,Unintentional injuries,Florida,12561,20629982.0,60.89,0.0,1.0,16.0,70.0,4.0,81.0,70.7,59.4,3.9,"51,176",33.0,20.0,62.4,17.6,16.1,7.1,27.4,34.6,0.956,214.57,34.68
43,2016,Unintentional injuries,District of Columbia,401,686575.0,58.41,,,,,,,,,,,,,,,,,,,0.902,152.06,17.48
44,2016,Unintentional injuries,Delaware,516,949216.0,54.36,1.0,1.0,16.5,65.0,2.0,74.2,55.3,36.1,4.3,"58,046",24.0,21.3,65.7,13.0,17.0,8.6,30.7,34.9,0.938,223.76,34.660000000000004
45,2016,Unintentional injuries,Connecticut,1978,3578674.0,55.27,1.0,0.0,16.333,65.0,3.0,69.2,49.0,28.5,4.5,"75,923",38.0,20.7,65.5,13.8,12.7,7.7,26.0,30.5,0.953,187.11,28.92
46,2016,Unintentional injuries,Colorado,2880,5540921.0,51.98,1.0,1.0,16.0,75.0,3.0,65.2,45.1,25.8,3.0,"70,566",10.0,22.5,67.8,9.7,14.6,6.7,22.3,25.9,1.012,143.08,33.12
47,2016,Unintentional injuries,California,13213,39209127.0,33.7,1.0,0.0,16.0,70.0,1.0,73.4,59.4,46.2,4.3,"66,637",50.0,22.9,66.5,10.6,11.3,11.9,25.0,28.4,0.988,151.79,39.71
48,2016,Unintentional injuries,Arkansas,1604,2990410.0,53.64,0.0,0.0,16.0,70.0,3.0,78.8,60.4,41.5,3.8,"45,907",7.0,23.5,62.5,14.0,22.3,7.1,35.7,41.3,0.971,221.11,49.32
49,2016,Unintentional injuries,Arizona,4010,6945452.0,57.74,0.0,0.0,16.0,75.0,5.0,78.1,60.3,43.6,4.9,"57,100",39.0,23.3,63.7,13.0,15.6,9.7,29.0,30.7,0.988,170.99,44.37
50,2016,Unintentional injuries,Alaska,439,741504.0,59.20000000000001,1.0,0.0,16.0,65.0,5.0,52.3,26.6,2.6,7.3,"75,723",19.0,25.0,69.3,5.7,21.0,7.4,31.4,31.8,1.09,134.19,14.97
51,2016,Unintentional injuries,Alabama,2755,4864745.0,56.63,0.0,0.0,16.0,70.0,4.0,78.6,62.8,46.5,3.8,"47,221",35.0,22.5,64.5,13.0,20.9,8.4,35.7,41.9,0.938,214.17,51.53
52,2016,Suicide,Wyoming,144,584290.0,24.65,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,"57,829",11.0,23.6,64.7,11.7,18.7,5.0,27.7,30.8,1.043,164.64,23.62
53,2016,Suicide,Wisconsin,866,5772958.0,15.0,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,"59,817",3.0,22.1,64.8,13.1,16.0,6.8,30.7,30.8,0.988,199.17,39.08
54,2016,Suicide,West Virginia,362,1830929.0,19.77,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,"44,354",45.0,22.4,62.3,15.3,26.0,7.8,37.7,43.5,0.977,254.46,42.93
55,2016,Suicide,Washington,1141,7294680.0,15.64,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,"70,310",21.0,22.2,66.6,11.2,13.5,8.0,28.6,29.5,0.988,172.65,44.81
56,2016,Suicide,Virginia,1166,8410946.0,13.86,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,"66,451",41.0,22.1,66.7,11.2,16.4,7.2,29.0,32.4,0.9670000000000001,178.66,28.63
57,2016,Suicide,Vermont,118,623644.0,18.92,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,"60,837",26.0,18.7,68.6,12.7,15.8,5.2,27.1,30.4,0.975,217.43,49.71
58,2016,Suicide,Utah,620,3042613.0,20.380000000000006,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,"67,481",22.0,29.9,61.6,8.5,8.9,8.3,25.4,24.5,1.016,102.71,29.71
59,2016,Suicide,United States,44965,323071342.0,13.919999999999998,,,,,,,,,,"59,039",,,,,,,,,,185.11,35.94
60,2016,Suicide,Texas,3488,27937492.0,12.49,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,"58,146",46.0,26.0,64.1,9.9,15.7,8.6,34.8,32.5,0.987,143.87,32.7
61,2016,Suicide,Tennessee,1111,6645011.0,16.72,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,"51,344",28.0,22.4,65.2,12.4,22.6,7.7,29.6,38.7,0.95,217.46,48.91
62,2016,Suicide,South Dakota,163,862890.0,18.89,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,"57,450",5.0,24.7,61.0,14.3,19.3,5.4,32.3,30.8,1.0170000000000001,196.32,52.03
63,2016,Suicide,South Carolina,815,4958235.0,16.439999999999998,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,"54,336",30.0,22.0,65.9,12.1,18.8,7.4,26.6,38.1,0.9420000000000001,208.86,50.03999999999999
64,2016,Suicide,Rhode Island,126,1057063.0,11.92,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,"61,528",23.0,19.6,65.9,14.5,14.9,7.6,30.7,33.1,0.9390000000000001,205.38,39.92
65,2016,Suicide,Pennsylvania,1970,12783538.0,15.409999999999998,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,"60,979",44.0,20.8,63.6,15.6,18.7,9.7,30.3,32.6,0.96,222.88,32.74
66,2016,Suicide,Oregon,772,4091404.0,18.87,1.0,0.0,16.0,65.0,3.0,63.7,48.4,34.0,4.0,"59,135",18.0,21.1,66.1,12.8,16.1,7.7,28.7,30.1,0.983,197.44,43.65
67,2016,Suicide,Oklahoma,822,3926769.0,20.93,1.0,1.0,16.0,75.0,4.0,79.6,59.6,39.1,4.4,"50,943",17.0,24.4,62.4,13.2,20.1,7.9,32.8,37.7,0.983,206.66000000000003,40.49
68,2016,Suicide,Ohio,1707,11635003.0,14.67,1.0,0.0,16.0,70.0,4.0,70.9,50.7,29.5,2.6,"53,985",40.0,22.3,64.4,13.3,21.1,9.0,31.5,34.7,0.96,219.24,43.24
69,2016,Suicide,North Dakota,140,754353.0,18.56,0.0,1.0,15.0,75.0,4.0,66.6,40.4,12.2,4.5,"60,184",1.0,23.3,62.0,14.7,18.3,4.5,31.9,29.5,1.058,166.1,47.86
70,2016,Suicide,North Carolina,1373,10156679.0,13.52,0.0,0.0,16.0,70.0,4.0,75.7,59.0,42.1,4.6,"53,764",34.0,22.4,65.6,12.0,17.2,7.4,31.8,34.7,0.948,192.22,40.89
71,2016,Suicide,New York,1679,19641589.0,8.55,1.0,0.0,16.5,65.0,1.0,66.5,45.4,23.3,5.6,"61,437",37.0,20.9,66.2,12.9,14.1,7.0,25.5,29.4,0.9440000000000001,180.07,17.05
72,2016,Suicide,New Mexico,471,2092789.0,22.51,1.0,1.0,15.5,75.0,4.0,71.4,53.4,36.1,4.6,"48,451",8.0,23.4,64.9,11.7,17.5,5.8,28.3,30.5,0.981,170.11,27.860000000000007
73,2016,Suicide,New Jersey,687,8874516.0,7.739999999999998,1.0,0.0,17.0,65.0,1.0,72.2,52.7,33.0,2.6,"68,468",49.0,22.0,64.8,13.2,13.7,8.3,27.4,33.0,0.9540000000000001,184.54,27.44
74,2016,Suicide,New Hampshire,244,1342373.0,18.18,0.0,1.0,16.0,65.0,5.0,65.5,43.8,21.1,4.9,"76,260",4.0,19.3,68.7,12.0,15.7,5.0,26.6,30.0,0.983,214.17,32.029999999999994
75,2016,Suicide,Nevada,650,2919772.0,22.26,1.0,1.0,16.0,75.0,3.0,69.0,49.9,32.2,2.8,"55,431",43.0,22.9,66.1,11.0,17.6,8.8,25.8,32.6,1.01,178.58,23.49
76,2016,Suicide,Nebraska,246,1905924.0,12.91,1.0,1.0,16.0,75.0,3.0,71.8,48.8,25.7,4.1,"59,374",14.0,24.8,61.6,13.6,15.4,7.1,32.0,30.6,0.998,182.43,33.26
77,2016,Suicide,Montana,267,1040863.0,25.65,1.0,1.0,15.0,75.0,4.0,64.2,42.7,21.2,3.6,"57,075",13.0,21.8,64.8,13.4,17.2,6.8,25.5,29.0,1.004,195.13,30.17
78,2016,Suicide,Missouri,1133,6087203.0,18.61,0.0,1.0,16.0,70.0,5.0,75.4,54.5,32.3,4.5,"55,016",15.0,22.6,63.9,13.5,20.8,7.9,31.7,32.0,0.965,208.57,37.82
79,2016,Suicide,Mississippi,383,2988298.0,12.82,1.0,0.0,16.0,70.0,5.0,79.5,63.4,46.7,3.2,"41,099",6.0,23.9,64.0,12.1,22.2,7.6,37.3,40.8,0.941,219.79,49.69
80,2016,Suicide,Minnesota,745,5523409.0,13.489999999999998,1.0,1.0,16.0,70.0,2.0,66.8,41.2,12.5,4.7,"70,218",2.0,23.3,64.6,12.1,14.5,7.1,27.8,26.6,0.995,178.46,40.17
81,2016,Suicide,Michigan,1364,9951890.0,13.71,0.0,0.0,16.0,70.0,3.0,66.2,44.4,21.7,3.5,"57,091",29.0,21.8,65.9,12.3,19.3,8.3,32.5,34.7,0.971,209.71,42.7
82,2016,Suicide,Massachusetts,631,6826022.0,9.24,1.0,0.0,16.5,65.0,2.0,68.0,47.9,27.4,4.3,"72,266",25.0,20.0,66.5,13.5,13.7,6.0,23.6,28.6,0.945,186.3,25.02
83,2016,Suicide,Maryland,586,6004692.0,9.76,1.0,1.0,16.5,65.0,1.0,73.3,54.2,34.7,2.7,"73,760",31.0,22.3,66.4,11.3,13.8,8.3,29.9,32.4,0.9420000000000001,181.71,19.62
84,2016,Suicide,Maine,226,1331370.0,16.97,1.0,0.0,16.0,75.0,5.0,63.7,41.0,16.8,4.4,"50,856",12.0,18.9,66.7,14.4,17.3,6.5,29.9,34.8,0.961,245.99,43.34
85,2016,Suicide,Louisiana,677,4678215.0,14.47,1.0,0.0,16.0,75.0,3.0,81.1,66.4,50.9,4.0,"42,196",42.0,23.7,64.7,11.6,23.1,8.0,35.5,39.0,0.956,195.57,46.92
86,2016,Suicide,Kentucky,756,4438229.0,17.03,1.0,1.0,16.5,70.0,4.0,74.5,55.6,35.9,3.4,"45,369",27.0,22.7,64.8,12.5,24.6,8.2,34.2,39.4,0.971,233.49,38.93
87,2016,Suicide,Kansas,514,2911263.0,17.66,0.0,0.0,16.0,75.0,5.0,76.4,54.3,31.9,2.8,"56,810",16.0,24.5,62.2,13.3,17.4,6.9,31.2,32.8,0.995,188.37,29.37
88,2016,Suicide,Iowa,451,3131785.0,14.400000000000002,1.0,0.0,16.0,70.0,3.0,71.6,47.8,21.7,3.2,"59,094",9.0,23.3,61.8,14.9,17.1,7.2,32.0,31.5,0.987,205.38,45.18
89,2016,Suicide,Indiana,1034,6633344.0,15.590000000000002,0.0,1.0,16.25,70.0,4.0,72.4,51.7,29.4,4.6,"56,094",48.0,23.6,64.0,12.4,21.8,8.7,32.5,35.2,0.972,202.37,40.37
90,2016,Suicide,Illinois,1415,12826895.0,11.03,1.0,1.0,16.0,65.0,2.0,73.4,51.8,28.3,2.9,"61,386",47.0,22.6,65.3,12.1,15.5,9.6,31.6,32.2,0.9670000000000001,190.14,30.23
91,2016,Suicide,Idaho,351,1682930.0,20.86,0.0,1.0,15.0,75.0,5.0,63.7,44.4,25.4,2.1,"56,564",20.0,25.8,62.9,11.3,14.3,6.7,27.4,29.8,1.01,171.37,36.07
92,2016,Suicide,Hawaii,174,1428105.0,12.18,1.0,1.0,16.0,60.0,1.0,72.2,70.0,67.4,4.4,"72,133",36.0,21.4,65.3,13.3,12.8,5.8,23.8,30.6,1.0070000000000001,168.12,31.16
93,2016,Suicide,Georgia,1409,10304763.0,13.669999999999998,1.0,1.0,16.0,70.0,4.0,78.7,63.5,47.8,4.4,"53,527",32.0,24.1,66.3,9.6,17.5,8.6,31.4,33.1,0.946,166.76,39.02
94,2016,Suicide,Florida,3143,20629982.0,15.24,0.0,1.0,16.0,70.0,4.0,81.0,70.7,59.4,3.9,"51,176",33.0,20.0,62.4,17.6,16.1,7.1,27.4,34.6,0.956,214.57,34.68
95,2016,Suicide,District of Columbia,40,686575.0,5.83,,,,,,,,,,,,,,,,,,,0.902,152.06,17.48
96,2016,Suicide,Delaware,119,949216.0,12.54,1.0,1.0,16.5,65.0,2.0,74.2,55.3,36.1,4.3,"58,046",24.0,21.3,65.7,13.0,17.0,8.6,30.7,34.9,0.938,223.76,34.660000000000004
97,2016,Suicide,Connecticut,397,3578674.0,11.09,1.0,0.0,16.333,65.0,3.0,69.2,49.0,28.5,4.5,"75,923",38.0,20.7,65.5,13.8,12.7,7.7,26.0,30.5,0.953,187.11,28.92
98,2016,Suicide,Colorado,1168,5540921.0,21.08,1.0,1.0,16.0,75.0,3.0,65.2,45.1,25.8,3.0,"70,566",10.0,22.5,67.8,9.7,14.6,6.7,22.3,25.9,1.012,143.08,33.12
99,2016,Suicide,California,4294,39209127.0,10.95,1.0,0.0,16.0,70.0,1.0,73.4,59.4,46.2,4.3,"66,637",50.0,22.9,66.5,10.6,11.3,11.9,25.0,28.4,0.988,151.79,39.71
100,2016,Suicide,Arkansas,555,2990410.0,18.56,0.0,0.0,16.0,70.0,3.0,78.8,60.4,41.5,3.8,"45,907",7.0,23.5,62.5,14.0,22.3,7.1,35.7,41.3,0.971,221.11,49.32
101,2016,Suicide,Arizona,1271,6945452.0,18.3,0.0,0.0,16.0,75.0,5.0,78.1,60.3,43.6,4.9,"57,100",39.0,23.3,63.7,13.0,15.6,9.7,29.0,30.7,0.988,170.99,44.37
102,2016,Suicide,Alaska,193,741504.0,26.03,1.0,0.0,16.0,65.0,5.0,52.3,26.6,2.6,7.3,"75,723",19.0,25.0,69.3,5.7,21.0,7.4,31.4,31.8,1.09,134.19,14.97
103,2016,Suicide,Alabama,788,4864745.0,16.2,0.0,0.0,16.0,70.0,4.0,78.6,62.8,46.5,3.8,"47,221",35.0,22.5,64.5,13.0,20.9,8.4,35.7,41.9,0.938,214.17,51.53
104,2016,Stroke,Wyoming,208,584290.0,35.6,1.0,1.0,16.0,75.0,5.0,63.5,42.0,21.2,3.9,"57,829",11.0,23.6,64.7,11.7,18.7,5.0,27.7,30.8,1.043,164.64,23.62
105,2016,Stroke,Wisconsin,2481,5772958.0,42.98,1.0,1.0,16.0,65.0,4.0,66.8,43.1,17.2,2.9,"59,817",3.0,22.1,64.8,13.1,16.0,6.8,30.7,30.8,0.988,199.17,39.08
106,2016,Stroke,West Virginia,1039,1830929.0,56.75,0.0,0.0,16.0,70.0,5.0,70.2,51.8,32.8,5.4,"44,354",45.0,22.4,62.3,15.3,26.0,7.8,37.7,43.5,0.977,254.46,42.93
107,2016,Stroke,Washington,2910,7294680.0,39.89,1.0,1.0,16.0,70.0,3.0,63.8,48.3,33.0,4.8,"70,310",21.0,22.2,66.6,11.2,13.5,8.0,28.6,29.5,0.988,172.65,44.81
108,2016,Stroke,Virginia,3502,8410946.0,41.64,1.0,0.0,16.25,70.0,4.0,73.2,55.1,36.8,3.4,"66,451",41.0,22.1,66.7,11.2,16.4,7.2,29.0,32.4,0.9670000000000001,178.66,28.63
109,2016,Stroke,Vermont,247,623644.0,39.61,0.0,0.0,16.0,65.0,5.0,65.1,42.9,19.4,2.8,"60,837",26.0,18.7,68.6,12.7,15.8,5.2,27.1,30.4,0.975,217.43,49.71
110,2016,Stroke,Utah,932,3042613.0,30.630000000000006,0.0,0.0,16.0,75.0,4.0,69.6,48.6,28.2,3.1,"67,481",22.0,29.9,61.6,8.5,8.9,8.3,25.4,24.5,1.016,102.71,29.71
111,2016,Stroke,United States,142142,323071342.0,44.0,,,,,,,,,,"59,039",,,,,,,,,,185.11,35.94
112,2016,Stroke,Texas,10673,27937492.0,38.2,1.0,1.0,16.0,85.0,4.0,81.1,64.8,47.9,4.0,"58,146",46.0,26.0,64.1,9.9,15.7,8.6,34.8,32.5,0.987,143.87,32.7
113,2016,Stroke,Tennessee,3508,6645011.0,52.790000000000006,0.0,0.0,16.0,70.0,4.0,75.6,57.6,39.1,3.4,"51,344",28.0,22.4,65.2,12.4,22.6,7.7,29.6,38.7,0.95,217.46,48.91
114,2016,Stroke,South Dakota,420,862890.0,48.67,1.0,0.0,14.25,75.0,4.0,69.9,45.2,19.5,4.4,"57,450",5.0,24.7,61.0,14.3,19.3,5.4,32.3,30.8,1.0170000000000001,196.32,52.03
115,2016,Stroke,South Carolina,2627,4958235.0,52.98,1.0,0.0,15.5,70.0,3.0,78.4,62.4,46.1,4.5,"54,336",30.0,22.0,65.9,12.1,18.8,7.4,26.6,38.1,0.9420000000000001,208.86,50.03999999999999
116,2016,Stroke,Rhode Island,399,1057063.0,37.75,0.0,0.0,16.5,65.0,3.0,68.8,50.1,31.4,4.8,"61,528",23.0,19.6,65.9,14.5,14.9,7.6,30.7,33.1,0.9390000000000001,205.38,39.92
117,2016,Stroke,Pennsylvania,6730,12783538.0,52.65,0.0,0.0,16.5,65.0,4.0,68.6,48.8,28.4,4.1,"60,979",44.0,20.8,63.6,15.6,18.7,9.7,30.3,32.6,0.96,222.88,32.74
