,Unnamed: 0,Year,Cause Name,State,Deaths,Age-adjusted Death Rate,State Population,Death Proportion
38,13,2016,Unintentional injuries,Illinois,5508,41.0,12826895.0,0.4294
39,12,2016,Unintentional injuries,Idaho,849,49.5,1682930.0,0.5045
40,11,2016,Unintentional injuries,Hawaii,577,35.3,1428105.0,0.40399999999999997
41,10,2016,Unintentional injuries,Georgia,4701,45.8,10304763.0,0.4562
42,9,2016,Unintentional injuries,Florida,12561,54.9,20629982.0,0.6089
43,8,2016,Unintentional injuries,District of Columbia,401,58.3,686575.0,0.5841
44,7,2016,Unintentional injuries,Delaware,516,52.4,949216.0,0.5436
45,6,2016,Unintentional injuries,Connecticut,1978,50.3,3578674.0,0.5527
46,5,2016,Unintentional injuries,Colorado,2880,51.2,5540921.0,0.5198
47,4,2016,Unintentional injuries,California,13213,32.0,39209127.0,0.337
48,3,2016,Unintentional injuries,Arkansas,1604,51.8,2990410.0,0.5364
49,2,2016,Unintentional injuries,Arizona,4010,54.2,6945452.0,0.5774
50,1,2016,Unintentional injuries,Alaska,439,63.1,741504.0,0.5920000000000001
51,0,2016,Unintentional injuries,Alabama,2755,55.5,4864745.0,0.5663
52,9393,2016,Suicide,Wyoming,144,25.2,584290.0,0.2465
53,9375,2016,Suicide,Wisconsin,866,14.7,5772958.0,0.15
54,9357,2016,Suicide,West Virginia,362,19.3,1830929.0,0.1977
55,9339,2016,Suicide,Washington,1141,14.9,7294680.0,0.1564
56,9321,2016,Suicide,Virginia,1166,13.2,8410946.0,0.1386
57,9303,2016,Suicide,Vermont,118,17.3,623644.0,0.1892
58,9285,2016,Suicide,Utah,620,21.8,3042613.0,0.2038
59,9267,2016,Suicide,United States,44965,13.5,323071342.0,0.1392
60,9249,2016,Suicide,Texas,3488,12.6,27937492.0,0.1249
61,9231,2016,Suicide,Tennessee,1111,16.3,6645011.0,0.1672
62,9213,2016,Suicide,South Dakota,163,20.2,862890.0,0.1889
63,9195,2016,Suicide,South Carolina,815,15.7,4958235.0,0.1644
64,9177,2016,Suicide,Rhode Island,126,11.2,1057063.0,0.1192
65,9159,2016,Suicide,Pennsylvania,1970,14.7,12783538.0,0.1541
66,9141,2016,Suicide,Oregon,772,17.8,4091404.0,0.1887
67,9123,2016,Suicide,Oklahoma,822,21.0,3926769.0,0.2093
68,9105,2016,Suicide,Ohio,1707,14.2,11635003.0,0.1467
69,9087,2016,Suicide,North Dakota,140,19.0,754353.0,0.1856
70,9069,2016,Suicide,North Carolina,1373,13.0,10156679.0,0.1352
71,9051,2016,Suicide,New York,1679,8.1,19641589.0,0.0855
72,9033,2016,Suicide,New Mexico,471,22.5,2092789.0,0.2251
73,9015,2016,Suicide,New Jersey,687,7.2,8874516.0,0.0774
74,8997,2016,Suicide,New Hampshire,244,17.2,1342373.0,0.1818
75,8979,2016,Suicide,Nevada,650,21.4,2919772.0,0.2226
76,8961,2016,Suicide,Nebraska,246,13.1,1905924.0,0.1291
77,8943,2016,Suicide,Montana,267,25.9,1040863.0,0.2565
78,8925,2016,Suicide,Missouri,1133,18.4,6087203.0,0.1861
79,8907,2016,Suicide,Mississippi,383,12.7,2988298.0,0.1282
80,8889,2016,Suicide,Minnesota,745,13.2,5523409.0,0.1349
81,8871,2016,Suicide,Michigan,1364,13.3,9951890.0,0.1371
82,8853,2016,Suicide,Massachusetts,631,8.8,6826022.0,0.0924
83,8835,2016,Suicide,Maryland,586,9.4,6004692.0,0.0976
84,8817,2016,Suicide,Maine,226,15.9,1331370.0,0.1697
85,8799,2016,Suicide,Louisiana,677,14.2,4678215.0,0.1447
86,8781,2016,Suicide,Kentucky,756,16.8,4438229.0,0.1703
87,8763,2016,Suicide,Kansas,514,17.9,2911263.0,0.1766
88,8745,2016,Suicide,Iowa,451,14.6,3131785.0,0.14400000000000002
89,8727,2016,Suicide,Indiana,1034,15.4,6633344.0,0.1559
90,8709,2016,Suicide,Illinois,1415,10.7,12826895.0,0.1103
91,8691,2016,Suicide,Idaho,351,21.4,1682930.0,0.2086
92,8673,2016,Suicide,Hawaii,174,12.1,1428105.0,0.1218
93,8655,2016,Suicide,Georgia,1409,13.3,10304763.0,0.1367
94,8637,2016,Suicide,Florida,3143,14.0,20629982.0,0.1524
95,8619,2016,Suicide,District of Columbia,40,5.2,686575.0,0.0583
96,8601,2016,Suicide,Delaware,119,11.5,949216.0,0.1254
97,8583,2016,Suicide,Connecticut,397,10.1,3578674.0,0.1109
98,8565,2016,Suicide,Colorado,1168,20.5,5540921.0,0.2108
99,8547,2016,Suicide,California,4294,10.5,39209127.0,0.1095
100,8529,2016,Suicide,Arkansas,555,18.2,2990410.0,0.1856
101,8511,2016,Suicide,Arizona,1271,17.7,6945452.0,0.183
102,8493,2016,Suicide,Alaska,193,25.8,741504.0,0.2603
103,8475,2016,Suicide,Alabama,788,15.7,4864745.0,0.162
104,8457,2016,Stroke,Wyoming,208,31.7,584290.0,0.35600000000000004
105,8439,2016,Stroke,Wisconsin,2481,33.3,5772958.0,0.4298
106,8421,2016,Stroke,West Virginia,1039,41.7,1830929.0,0.5675
107,8403,2016,Stroke,Washington,2910,35.8,7294680.0,0.3989
108,8385,2016,Stroke,Virginia,3502,38.2,8410946.0,0.4164
109,8367,2016,Stroke,Vermont,247,29.2,623644.0,0.3961
110,8349,2016,Stroke,Utah,932,38.8,3042613.0,0.3063
111,8331,2016,Stroke,United States,142142,37.3,323071342.0,0.44
112,8313,2016,Stroke,Texas,10673,42.0,27937492.0,0.382
113,8295,2016,Stroke,Tennessee,3508,46.0,6645011.0,0.5279
114,8277,2016,Stroke,South Dakota,420,35.8,862890.0,0.4867
115,8259,2016,Stroke,South Carolina,2627,45.5,4958235.0,0.5298
116,8241,2016,Stroke,Rhode Island,399,26.8,1057063.0,0.3775
117,8223,2016,Stroke,Pennsylvania,6730,37.0,12783538.0,0.5265
118,8205,2016,Stroke,Oregon,1943,37.8,4091404.0,0.4749
119,8187,2016,Stroke,Oklahoma,1859,41.8,3926769.0,0.4734
120,8169,2016,Stroke,Ohio,5987,40.6,11635003.0,0.5146
121,8151,2016,Stroke,North Dakota,311,32.7,754353.0,0.4123
122,8133,2016,Stroke,North Carolina,4940,43.0,10156679.0,0.4864
123,8115,2016,Stroke,New York,6258,25.5,19641589.0,0.3186
124,8097,2016,Stroke,New Mexico,885,35.5,2092789.0,0.4229
125,8079,2016,Stroke,New Jersey,3401,30.4,8874516.0,0.3832
126,8061,2016,Stroke,New Hampshire,490,28.0,1342373.0,0.365
127,8043,2016,Stroke,Nevada,1096,35.9,2919772.0,0.3754
128,8025,2016,Stroke,Nebraska,787,33.2,1905924.0,0.4129
129,8007,2016,Stroke,Montana,440,32.5,1040863.0,0.4227
130,7989,2016,Stroke,Missouri,3069,40.4,6087203.0,0.5042
131,7971,2016,Stroke,Mississippi,1705,50.6,2988298.0,0.5706
132,7953,2016,Stroke,Minnesota,2197,32.5,5523409.0,0.3978
133,7935,2016,Stroke,Michigan,4874,39.0,9951890.0,0.4898
134,7917,2016,Stroke,Massachusetts,2468,27.9,6826022.0,0.3616
135,7899,2016,Stroke,Maryland,2709,39.7,6004692.0,0.4511
136,7881,2016,Stroke,Maine,663,34.4,1331370.0,0.498
137,7863,2016,Stroke,Louisiana,2322,46.0,4678215.0,0.4963
138,7845,2016,Stroke,Kentucky,2057,40.4,4438229.0,0.4635
139,7827,2016,Stroke,Kansas,1363,38.6,2911263.0,0.4682
140,7809,2016,Stroke,Iowa,1388,32.3,3131785.0,0.4432
141,7791,2016,Stroke,Indiana,3040,39.5,6633344.0,0.4583
142,7773,2016,Stroke,Illinois,5658,37.8,12826895.0,0.4411
143,7755,2016,Stroke,Idaho,682,37.2,1682930.0,0.4052
144,7737,2016,Stroke,Hawaii,675,34.3,1428105.0,0.4727
145,7719,2016,Stroke,Georgia,4349,44.3,10304763.0,0.42200000000000004
146,7701,2016,Stroke,Florida,11854,37.3,20629982.0,0.5746
147,7683,2016,Stroke,District of Columbia,252,38.4,686575.0,0.36700000000000005
148,7665,2016,Stroke,Delaware,506,41.6,949216.0,0.5331
149,7647,2016,Stroke,Connecticut,1269,26.3,3578674.0,0.3546
150,7629,2016,Stroke,Colorado,1927,35.2,5540921.0,0.3478
151,7611,2016,Stroke,California,15680,36.9,39209127.0,0.3999
152,7593,2016,Stroke,Arkansas,1643,45.6,2990410.0,0.5494
153,7575,2016,Stroke,Arizona,2556,29.8,6945452.0,0.368
154,7558,2016,Stroke,Alaska,196,39.0,741504.0,0.2643
155,7540,2016,Stroke,Alabama,2967,51.6,4864745.0,0.6099
156,7522,2016,Kidney disease,Wyoming,66,10.0,584290.0,0.113
157,7504,2016,Kidney disease,Wisconsin,960,13.0,5772958.0,0.1663
158,7486,2016,Kidney disease,West Virginia,481,19.3,1830929.0,0.2627
159,7468,2016,Kidney disease,Washington,532,6.6,7294680.0,0.0729
160,7450,2016,Kidney disease,Virginia,1543,16.6,8410946.0,0.1835
161,7432,2016,Kidney disease,Vermont,30,3.7,623644.0,0.0481
162,7414,2016,Kidney disease,Utah,370,15.2,3042613.0,0.1216
163,7396,2016,Kidney disease,United States,50046,13.1,323071342.0,0.1549
164,7378,2016,Kidney disease,Texas,4125,15.8,27937492.0,0.1477
165,7360,2016,Kidney disease,Tennessee,1150,14.9,6645011.0,0.1731
166,7342,2016,Kidney disease,South Dakota,90,7.6,862890.0,0.1043
167,7324,2016,Kidney disease,South Carolina,897,15.3,4958235.0,0.1809
168,7305,2016,Kidney disease,Rhode Island,141,9.9,1057063.0,0.1334
169,7287,2016,Kidney disease,Pennsylvania,2813,15.7,12783538.0,0.22
170,7269,2016,Kidney disease,Oregon,398,7.7,4091404.0,0.0973
171,7251,2016,Kidney disease,Oklahoma,577,12.9,3926769.0,0.1469
172,7233,2016,Kidney disease,Ohio,2262,15.4,11635003.0,0.1944
173,7215,2016,Kidney disease,North Dakota,106,11.3,754353.0,0.1405
174,7197,2016,Kidney disease,North Carolina,2002,17.1,10156679.0,0.1971
175,7179,2016,Kidney disease,New York,2385,9.8,19641589.0,0.1214
176,7161,2016,Kidney disease,New Mexico,293,11.7,2092789.0,0.14
177,7143,2016,Kidney disease,New Jersey,1535,13.8,8874516.0,0.17300000000000001
178,7125,2016,Kidney disease,New Hampshire,161,9.4,1342373.0,0.1199
179,7107,2016,Kidney disease,Nevada,274,8.8,2919772.0,0.0938
180,7089,2016,Kidney disease,Nebraska,220,9.5,1905924.0,0.1154
181,7071,2016,Kidney disease,Montana,155,11.3,1040863.0,0.1489
182,7053,2016,Kidney disease,Missouri,1483,19.6,6087203.0,0.2436
183,7035,2016,Kidney disease,Mississippi,763,22.8,2988298.0,0.2553
184,7017,2016,Kidney disease,Minnesota,588,8.8,5523409.0,0.1065
185,6999,2016,Kidney disease,Michigan,1791,14.3,9951890.0,0.18
186,6981,2016,Kidney disease,Massachusetts,1139,13.2,6826022.0,0.1669
187,6963,2016,Kidney disease,Maryland,823,12.1,6004692.0,0.1371
188,6945,2016,Kidney disease,Maine,239,12.4,1331370.0,0.1795
189,6927,2016,Kidney disease,Louisiana,1153,22.6,4678215.0,0.2465
190,6909,2016,Kidney disease,Kentucky,1034,20.3,4438229.0,0.233
191,6891,2016,Kidney disease,Kansas,533,15.0,2911263.0,0.1831
192,6873,2016,Kidney disease,Iowa,352,8.3,3131785.0,0.1124
193,6855,2016,Kidney disease,Indiana,1411,18.4,6633344.0,0.2127
194,6837,2016,Kidney disease,Illinois,2518,17.0,12826895.0,0.1963
195,6819,2016,Kidney disease,Idaho,190,10.3,1682930.0,0.1129
196,6801,2016,Kidney disease,Hawaii,215,11.2,1428105.0,0.1505
197,6784,2016,Kidney disease,Georgia,1864,18.4,10304763.0,0.1809
198,6766,2016,Kidney disease,Florida,3144,10.2,20629982.0,0.1524
199,6747,2016,Kidney disease,District of Columbia,57,9.0,686575.0,0.083
200,6729,2016,Kidney disease,Delaware,208,17.1,949216.0,0.2191
201,6711,2016,Kidney disease,Connecticut,570,12.1,3578674.0,0.1593
202,6693,2016,Kidney disease,Colorado,491,8.9,5540921.0,0.0886
203,6675,2016,Kidney disease,California,3640,8.6,39209127.0,0.0928
204,6657,2016,Kidney disease,Arkansas,722,20.0,2990410.0,0.2414
205,6639,2016,Kidney disease,Arizona,487,5.7,6945452.0,0.0701
206,6621,2016,Kidney disease,Alaska,53,10.0,741504.0,0.0715
207,6603,2016,Kidney disease,Alabama,1012,17.4,4864745.0,0.20800000000000002
208,6585,2016,Influenza and pneumonia,Wyoming,99,15.0,584290.0,0.1694
209,6567,2016,Influenza and pneumonia,Wisconsin,888,11.9,5772958.0,0.1538
210,6549,2016,Influenza and pneumonia,West Virginia,423,17.3,1830929.0,0.231
211,6531,2016,Influenza and pneumonia,Washington,815,10.0,7294680.0,0.1117
212,6513,2016,Influenza and pneumonia,Virginia,1177,12.7,8410946.0,0.1399
213,6495,2016,Influenza and pneumonia,Vermont,59,7.0,623644.0,0.0946
214,6477,2016,Influenza and pneumonia,Utah,380,15.5,3042613.0,0.1249
215,6459,2016,Influenza and pneumonia,United States,51537,13.5,323071342.0,0.1595
216,6441,2016,Influenza and pneumonia,Texas,2860,11.1,27937492.0,0.1024
217,6423,2016,Influenza and pneumonia,Tennessee,1533,20.1,6645011.0,0.2307
218,6405,2016,Influenza and pneumonia,South Dakota,195,16.7,862890.0,0.226
219,6387,2016,Influenza and pneumonia,South Carolina,690,12.0,4958235.0,0.1392
220,6369,2016,Influenza and pneumonia,Rhode Island,165,11.0,1057063.0,0.1561
221,6351,2016,Influenza and pneumonia,Pennsylvania,2491,13.9,12783538.0,0.1949
222,6333,2016,Influenza and pneumonia,Oregon,452,8.9,4091404.0,0.1105
223,6315,2016,Influenza and pneumonia,Oklahoma,546,12.4,3926769.0,0.139
224,6297,2016,Influenza and pneumonia,Ohio,2187,15.0,11635003.0,0.188
225,6279,2016,Influenza and pneumonia,North Dakota,134,14.5,754353.0,0.1776
226,6261,2016,Influenza and pneumonia,North Carolina,1896,16.5,10156679.0,0.1867
227,6243,2016,Influenza and pneumonia,New York,4513,18.3,19641589.0,0.2298
228,6225,2016,Influenza and pneumonia,New Mexico,353,14.6,2092789.0,0.1687
229,6207,2016,Influenza and pneumonia,New Jersey,1208,10.7,8874516.0,0.1361
230,6189,2016,Influenza and pneumonia,New Hampshire,203,11.8,1342373.0,0.1512
231,6171,2016,Influenza and pneumonia,Nevada,567,18.1,2919772.0,0.1942
232,6153,2016,Influenza and pneumonia,Nebraska,342,14.3,1905924.0,0.1794
233,6135,2016,Influenza and pneumonia,Montana,147,11.1,1040863.0,0.1412
234,6117,2016,Influenza and pneumonia,Missouri,1150,15.1,6087203.0,0.1889
235,6099,2016,Influenza and pneumonia,Mississippi,785,23.4,2988298.0,0.2627
236,6081,2016,Influenza and pneumonia,Minnesota,529,7.8,5523409.0,0.0958
237,6063,2016,Influenza and pneumonia,Michigan,1672,13.7,9951890.0,0.168
238,6045,2016,Influenza and pneumonia,Massachusetts,1251,14.1,6826022.0,0.1833
239,6027,2016,Influenza and pneumonia,Maryland,1025,15.1,6004692.0,0.1707
240,6009,2016,Influenza and pneumonia,Maine,231,12.0,1331370.0,0.1735
241,5991,2016,Influenza and pneumonia,Louisiana,720,14.3,4678215.0,0.1539
242,5973,2016,Influenza and pneumonia,Kentucky,888,17.3,4438229.0,0.2001
243,5955,2016,Influenza and pneumonia,Kansas,522,14.4,2911263.0,0.1793
244,5937,2016,Influenza and pneumonia,Iowa,504,11.6,3131785.0,0.1609
245,5919,2016,Influenza and pneumonia,Indiana,962,12.6,6633344.0,0.145
246,5901,2016,Influenza and pneumonia,Illinois,2178,14.5,12826895.0,0.1698
247,5883,2016,Influenza and pneumonia,Idaho,207,11.3,1682930.0,0.12300000000000001
248,5865,2016,Influenza and pneumonia,Hawaii,507,24.4,1428105.0,0.355
249,5847,2016,Influenza and pneumonia,Georgia,1423,14.3,10304763.0,0.1381
250,5829,2016,Influenza and pneumonia,Florida,2808,9.3,20629982.0,0.1361
251,5811,2016,Influenza and pneumonia,District of Columbia,78,11.5,686575.0,0.1136
252,5793,2016,Influenza and pneumonia,Delaware,132,10.7,949216.0,0.1391
253,5775,2016,Influenza and pneumonia,Connecticut,572,11.7,3578674.0,0.1598
254,5757,2016,Influenza and pneumonia,Colorado,533,9.6,5540921.0,0.0962
255,5739,2016,Influenza and pneumonia,California,5981,14.0,39209127.0,0.1525
256,5721,2016,Influenza and pneumonia,Arkansas,623,17.1,2990410.0,0.2083
257,5703,2016,Influenza and pneumonia,Arizona,885,10.4,6945452.0,0.1274
258,5685,2016,Influenza and pneumonia,Alaska,61,12.5,741504.0,0.0823
259,5667,2016,Influenza and pneumonia,Alabama,987,17.1,4864745.0,0.2029
260,5649,2016,Heart disease,Wyoming,1051,157.8,584290.0,1.7988
261,5631,2016,Heart disease,Wisconsin,11526,154.9,5772958.0,1.9966
262,5613,2016,Heart disease,West Virginia,4767,191.0,1830929.0,2.6036
263,5595,2016,Heart disease,Washington,11161,136.1,7294680.0,1.53
264,5577,2016,Heart disease,Virginia,14124,150.7,8410946.0,1.6792
265,5559,2016,Heart disease,Vermont,1366,158.8,623644.0,2.1904
266,5543,2016,Heart disease,Utah,3636,150.0,3042613.0,1.195
267,5525,2016,Heart disease,United States,635260,165.5,323071342.0,1.9663
268,5506,2016,Heart disease,Texas,43772,167.7,27937492.0,1.5668
269,5488,2016,Heart disease,Tennessee,15429,198.8,6645011.0,2.3219
270,5470,2016,Heart disease,South Dakota,1729,153.4,862890.0,2.0037
271,5452,2016,Heart disease,South Carolina,10195,173.8,4958235.0,2.0562
272,5434,2016,Heart disease,Rhode Island,2256,152.4,1057063.0,2.1342
273,5416,2016,Heart disease,Pennsylvania,31990,176.2,12783538.0,2.5024
274,5398,2016,Heart disease,Oregon,6968,135.0,4091404.0,1.7031
275,5380,2016,Heart disease,Oklahoma,10209,228.2,3926769.0,2.5998
276,5362,2016,Heart disease,Ohio,27410,185.1,11635003.0,2.3558
277,5344,2016,Heart disease,North Dakota,1338,140.9,754353.0,1.7737
278,5326,2016,Heart disease,North Carolina,18266,155.8,10156679.0,1.7984
279,5308,2016,Heart disease,New York,44076,177.8,19641589.0,2.244
280,5290,2016,Heart disease,New Mexico,3800,150.6,2092789.0,1.8158
281,5272,2016,Heart disease,New Jersey,18597,164.7,8874516.0,2.0956
282,5254,2016,Heart disease,New Hampshire,2631,151.1,1342373.0,1.96
283,5236,2016,Heart disease,Nevada,6457,205.9,2919772.0,2.2115
284,5218,2016,Heart disease,Nebraska,3322,140.3,1905924.0,1.743
285,5200,2016,Heart disease,Montana,2138,154.4,1040863.0,2.0541
286,5182,2016,Heart disease,Missouri,14579,192.1,6087203.0,2.395
287,5164,2016,Heart disease,Mississippi,7865,233.1,2988298.0,2.6319
288,5146,2016,Heart disease,Minnesota,7825,114.9,5523409.0,1.4167
289,5128,2016,Heart disease,Michigan,25304,200.6,9951890.0,2.5426
290,5109,2016,Heart disease,Massachusetts,11921,134.8,6826022.0,1.7464
291,5091,2016,Heart disease,Maryland,11390,164.3,6004692.0,1.8968
292,5073,2016,Heart disease,Maine,2907,149.5,1331370.0,2.1835
293,5055,2016,Heart disease,Louisiana,10943,213.1,4678215.0,2.3391
294,5037,2016,Heart disease,Kentucky,10519,203.0,4438229.0,2.3701
295,5019,2016,Heart disease,Kansas,5672,159.2,2911263.0,1.9483
296,5001,2016,Heart disease,Iowa,6937,162.8,3131785.0,2.215
297,4983,2016,Heart disease,Indiana,13952,180.6,6633344.0,2.1033
298,4965,2016,Heart disease,Illinois,25013,165.7,12826895.0,1.95
299,4947,2016,Heart disease,Idaho,2969,160.0,1682930.0,1.7642
300,4929,2016,Heart disease,Hawaii,2488,127.0,1428105.0,1.7422
301,4911,2016,Heart disease,Georgia,18143,179.0,10304763.0,1.7606
302,4893,2016,Heart disease,Florida,45659,146.2,20629982.0,2.2132
303,4875,2016,Heart disease,District of Columbia,1375,211.7,686575.0,2.0027
304,4857,2016,Heart disease,Delaware,1974,163.2,949216.0,2.0796
305,4839,2016,Heart disease,Connecticut,7051,144.3,3578674.0,1.9703
306,4821,2016,Heart disease,Colorado,7277,129.8,5540921.0,1.3133
307,4803,2016,Heart disease,California,61573,143.1,39209127.0,1.5704
308,4785,2016,Heart disease,Arkansas,8090,223.7,2990410.0,2.7053
309,4767,2016,Heart disease,Arizona,11957,138.9,6945452.0,1.7216
310,4749,2016,Heart disease,Alaska,831,141.0,741504.0,1.1207
311,4731,2016,Heart disease,Alabama,12832,222.5,4864745.0,2.6378
312,4713,2016,Diabetes,Wyoming,112,16.6,584290.0,0.1917
313,4695,2016,Diabetes,Wisconsin,1440,19.9,5772958.0,0.2494
314,4677,2016,Diabetes,West Virginia,860,34.8,1830929.0,0.4697
315,4659,2016,Diabetes,Washington,1673,20.3,7294680.0,0.2293
316,4641,2016,Diabetes,Virginia,2062,21.7,8410946.0,0.2452
317,4623,2016,Diabetes,Vermont,166,20.5,623644.0,0.2662
318,4605,2016,Diabetes,Utah,624,24.6,3042613.0,0.2051
319,4587,2016,Diabetes,United States,80058,21.0,323071342.0,0.2478
320,4569,2016,Diabetes,Texas,5470,20.3,27937492.0,0.1958
321,4551,2016,Diabetes,Tennessee,1883,24.0,6645011.0,0.2834
322,4533,2016,Diabetes,South Dakota,253,23.7,862890.0,0.2932
323,4515,2016,Diabetes,South Carolina,1369,22.3,4958235.0,0.2761
324,4497,2016,Diabetes,Rhode Island,239,16.9,1057063.0,0.2261
325,4479,2016,Diabetes,Pennsylvania,3560,20.3,12783538.0,0.2785
326,4461,2016,Diabetes,Oregon,1240,24.0,4091404.0,0.3031
327,4443,2016,Diabetes,Oklahoma,1393,30.8,3926769.0,0.3547
328,4425,2016,Diabetes,Ohio,3568,24.6,11635003.0,0.3067
329,4407,2016,Diabetes,North Dakota,171,19.4,754353.0,0.2267
330,4389,2016,Diabetes,North Carolina,2811,23.5,10156679.0,0.2768
331,4371,2016,Diabetes,New York,4038,16.9,19641589.0,0.2056
332,4353,2016,Diabetes,New Mexico,678,27.2,2092789.0,0.324
333,4335,2016,Diabetes,New Jersey,1949,17.8,8874516.0,0.2196
334,4317,2016,Diabetes,New Hampshire,316,17.9,1342373.0,0.2354
335,4299,2016,Diabetes,Nevada,580,17.9,2919772.0,0.1986
336,4281,2016,Diabetes,Nebraska,501,21.9,1905924.0,0.2629
337,4263,2016,Diabetes,Montana,311,23.6,1040863.0,0.2988
338,4245,2016,Diabetes,Missouri,1508,20.1,6087203.0,0.2477
339,4227,2016,Diabetes,Mississippi,1084,31.9,2988298.0,0.3627
340,4209,2016,Diabetes,Minnesota,1265,19.2,5523409.0,0.22899999999999998
341,4191,2016,Diabetes,Michigan,2672,21.5,9951890.0,0.2685
342,4173,2016,Diabetes,Massachusetts,1268,14.9,6826022.0,0.1858
343,4155,2016,Diabetes,Maryland,1358,19.6,6004692.0,0.2262
344,4137,2016,Diabetes,Maine,463,23.9,1331370.0,0.3478
345,4119,2016,Diabetes,Louisiana,1324,25.5,4678215.0,0.28300000000000003
346,4101,2016,Diabetes,Kentucky,1479,28.4,4438229.0,0.3332
347,4083,2016,Diabetes,Kansas,727,21.2,2911263.0,0.2497
348,4065,2016,Diabetes,Iowa,847,20.9,3131785.0,0.2705
349,4047,2016,Diabetes,Indiana,1992,26.0,6633344.0,0.3003
350,4029,2016,Diabetes,Illinois,2781,18.7,12826895.0,0.2168
351,4011,2016,Diabetes,Idaho,375,19.8,1682930.0,0.2228
352,3993,2016,Diabetes,Hawaii,285,15.1,1428105.0,0.1996
353,3975,2016,Diabetes,Georgia,2238,21.2,10304763.0,0.2172
354,3957,2016,Diabetes,Florida,5782,19.5,20629982.0,0.2803
355,3939,2016,Diabetes,District of Columbia,127,19.8,686575.0,0.185
356,3921,2016,Diabetes,Delaware,203,17.0,949216.0,0.2139
357,3903,2016,Diabetes,Connecticut,699,14.9,3578674.0,0.1953
358,3885,2016,Diabetes,Colorado,938,16.2,5540921.0,0.1693
359,3867,2016,Diabetes,California,9124,21.4,39209127.0,0.2327
360,3849,2016,Diabetes,Arkansas,920,25.4,2990410.0,0.3077
361,3831,2016,Diabetes,Arizona,2025,23.9,6945452.0,0.2916
362,3813,2016,Diabetes,Alaska,124,19.3,741504.0,0.1672
363,3795,2016,Diabetes,Alabama,1183,20.1,4864745.0,0.2432
364,2841,2016,Cancer,Wyoming,962,140.9,584290.0,1.6464
365,2823,2016,Cancer,Wisconsin,11498,158.0,5772958.0,1.9917
366,2805,2016,Cancer,West Virginia,4659,182.2,1830929.0,2.5446
367,2787,2016,Cancer,Washington,12594,150.9,7294680.0,1.7265
